,CSF,GM,WM,case,algorithm,time,iterations,init,atlas,atlas_use,model
252,0.2000638162093171,0.8074474100252974,0.7900327034851715,1107,tm,-,-,-,-,-,tm
253,0.6380547720212804,0.7482453171584004,0.8283872323224941,1107,lp_ours,-,-,ours,-,-,lp
254,0.5540722418245971,0.680745497817183,0.7482265062071273,1107,lp_mni,-,-,mni,-,-,lp
255,0.782316342698149,0.8649673115438976,0.8979684717101746,1107,tm+lp_ours,-,-,ours,-,-,tm
256,0.3187424253225921,0.8276642617419552,0.8662236057002419,1107,tm+lp_mni,-,-,mni,-,-,tm
257,0.0060179573918968,0.7987250346976001,0.8179501209660606,1107,em_km,67.99273681640625,300,km,-,-,em
258,0.0889326607290337,0.8167958762710974,0.7089548498092804,1107,em_tm,57.4439058303833,300,tm,-,-,em
259,0.0010997420708029,0.7987342905585932,0.9274683644208256,1107,em_lp_mni,56.17478370666504,300,lp,mni,-,em
260,0.0007675719141781,0.7987342905585932,0.931150363910993,1107,em_lp_ours,56.44123458862305,300,lp,ours,-,em
261,0.1721814097504705,0.8504251119764148,0.9081225641695634,1107,em_km_af_mni,2.019479513168335,0,km,mni,af,em
262,0.374630450849963,0.9051961479037672,0.9411731998491604,1107,em_km_af_ours,1.79711651802063,0,km,ours,af,em
263,0.4096171480972031,0.7861476655717807,0.8869634942508431,1107,em_tm_af_mni,0.2690589427947998,0,tm,mni,af,em
264,0.6626964835520985,0.855087517041851,0.9232811816774508,1107,em_tm_af_ours,0.25159335136413574,0,tm,ours,af,em
265,0.1305988515176374,0.8148252770131068,0.8942191963674849,1107,em_tm_lp_af_mni,0.22040700912475586,0,tm,af,lp,em
266,0.3051101453619061,0.8783898026910756,0.92930605613081,1107,em_tm_lp_af_ours,0.2051844596862793,0,tm,af,lp,em
267,0.0,0.8486662947808667,0.91407819587282,1107,em_km_in_mni,33.587833404541016,115,km,mni,in,em
268,0.1076622804256123,0.8747911987787627,0.9245468588472376,1107,em_km_in_ours,38.7053439617157,131,km,ours,in,em
269,0.0,0.8486662947808667,0.91407819587282,1107,em_tm_in_mni,27.45700979232788,111,tm,mni,in,em
270,0.1076622804256123,0.8747911987787627,0.9245468588472376,1107,em_tm_in_ours,28.903680562973022,122,tm,ours,in,em
271,0.0,0.8486662947808667,0.91407819587282,1107,em_tm_lp_in_mni,28.31687021255493,114,tm,in,lp,em
272,0.1076622804256123,0.8747911987787627,0.9245468588472376,1107,em_tm_lp_in_ours,27.234671354293823,114,tm,in,lp,em
273,0.1951231597267383,0.9034238007613355,0.8591616124107769,1110,tm,-,-,-,-,-,tm
274,0.5863627647042708,0.6973709494470791,0.7945961890479236,1110,lp_ours,-,-,ours,-,-,lp
275,0.6034923937800523,0.650657497623429,0.7205429314186138,1110,lp_mni,-,-,mni,-,-,lp
276,0.8350408099009421,0.8983693448941436,0.9448387166960824,1110,tm+lp_ours,-,-,ours,-,-,tm
277,0.4302837202245486,0.834113886960076,0.9021948778204306,1110,tm+lp_mni,-,-,mni,-,-,tm
278,0.0065807453862861,0.8114202144770668,0.877823626703522,1110,em_km,74.81224083900452,300,km,-,-,em
279,0.0,0.837135282714865,0.9119552448501468,1110,em_tm,61.36056184768677,300,tm,-,-,em
280,0.3196336576989124,0.9034290323016242,0.9394459858193508,1110,em_lp_mni,61.12536358833313,300,lp,mni,-,em
